PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40184565,Leveraging Artificial Intelligence to Uncover Symptom Burden in Palliative Care: Analysis of Nonscheduled Visits Using a Phi-3 Small Language Model.,2025,"Javier Retamales, Juan Pablo Retamales, Ana Maria Demarchi, Marcela Gonzalez, Caroll Lopez, Nina Ramirez, Tamara Retamal, Virginia Sun",", , , , , , , ",Not Available
40184561,Neoadjuvant FOLF(IRIN)OX Chemotherapy for Resectable Pancreatic Adenocarcinoma: A Multicenter Randomized Noncomparative Phase II Trial (PANACHE01 FRENCH08 PRODIGE48 study).,2025,"Lilian Schwarz, Jean-Baptiste Bachet, Aurelia Meurisse, Olivier Bouché, Eric Assenat, Guillaume Piessen, Pascal Hammel, Nicolas Regenet, Julien Taieb, Olivier Turrini, Francois Paye, Anthony Turpin, Francois-Regis Souche, Christophe Laurent, Reza Kianmanesh, Pierre Michel, Dewi Vernerey, Jean-Yves Mabrut, Celia Turco, Stephanie Truant, Antonio Sa Cunha,  ,  ",", , , , , , , , , , , , , , , , , , , , , , ",Not Available
40184560,Clinician and Patient Perspectives on a Patient-Facing Online Breast Cancer Symptom Visualization Tool.,2025,"Gillian Gresham, Michael Luu, N Lynn Henry, Tyra Nguyen, Katherine Barnhill, Greg Yothers, Sungjin Kim, Andre Rogatko, Deanna J Attai, Mourad Tighiouart, Ron D Hays, Patricia A Ganz",", , , , , , , , , , , ",Not Available
40184559,Using Real-World Data for Machine-Learning Algorithms to Predict the Treatment Response in Advanced Melanoma: A Pilot Study for Personalizing Cancer Care.,2025,"Richard M Brohet, Elianne C S de Boer, Joram M Mossink, Joni J N van der Eerden, Alexander Oostmeyer, Luuk H W Idzerda, Jan Gerard Maring, Gabriel M R M Paardekooper, Michel Beld, Fiona Lijffijt, Joep Dille, Jan Willem B de Groot",", , , , , , , , , , , ",Not Available
40184539,Pt(IV)-PROTAC Complexes with Synergistic Antitumor Activity and Enhanced Membrane Permeability.,2025,"Cheng-Xin Li, Zhi-Ru Zou, Shan Xu, Jia-Hui Shi, Yong Zou, Ming Yan, Xue-Jing Zhang",", , , , , , ",Not Available
40184452,MIST: An interpretable and flexible deep learning framework for single-T cell transcriptome and receptor analysis.,2025,"Wenpu Lai, Yangqiu Li, Oscar Junhong Luo",", , ",Not Available
40184431,An All-in-One Nanoheater and Optical Thermometer Fabricated from Fractal Nanoparticle Assemblies.,2025,"William H Skinner, Renata L Sala, Kamil Sokolowski, Ioana Blein-Dezayes, Natalie S Potter, Sara Mosca, Benjamin Gardner, Jeremy J Baumberg, Pavel Matousek, Oren A Scherman, Nick Stone",", , , , , , , , , , ",Not Available
40184428,Intact HIV DNA decays in children with and without complete viral load suppression.,2025,"Daniel B Reeves, Morgan Litchford, Carolyn S Fish, Anna Farrell-Sherman, Makayla Poindexter, Nashwa Ahmed, Noah A J Cassidy, Jillian Neary, Dalton Wamalwa, Agnes Langat, Daisy Chebet, Hellen Moraa, Annukka A R Antar, Jennifer Slyker, Sarah Benki-Nugent, Lillian B Cohn, Joshua T Schiffer, Julie Overbaugh, Grace John-Stewart, Dara A Lehman",", , , , , , , , , , , , , , , , , , , ",Not Available
40184395,Early detection of esophageal cancer: Evaluating AI algorithms with multi-institutional narrowband and white-light imaging data.,2025,"Young Seo Baik, Hannah Lee, Young Jae Kim, Jun-Won Chung, Kwang Gi Kim",", , , , ",Not Available
40184373,Exploring the impact of opioid use on outcomes in allogeneic hematopoietic stem cell transplantation.,2025,"Tommy Alfaro Moya, Abel Santos Carreira, Shiyi Chen, Mats Remberger, Refik Saskin, Igor Novitzky-Basso, Jonas Mattsson",", , , , , , ",Not Available
40184365,Findings from a qualitative analysis: Social media influencers of color as trusted messengers of HPV vaccination messages.,2025,"Amelia Burke-Garcia, Erin Cutroneo, Dasha Afanaseva, Kayla Madden, Angela Sustaita-Ruiz, Preethi Selvan, Estefany Rivera Sanchez, Amy Leader",", , , , , , , ",Not Available
40184357,Airway Management for Tracheal Perforation After Left Hemi-Thyroid Lobectomy: A Case Report.,2025,"Masato Ryo, Shunsaku Goto, Keiko Hamada, Yasuko Nagasaka",", , , ",Not Available
40184324,Effects of cannabinoids on immune checkpoint inhibitor response: CCTG pooled analysis of individual patient data.,2025,"Courtney H Coschi, Keyue Ding, Justin Tong, Dongsheng Tu, Christopher O'Callaghan, Natasha B Leighl, Francisco Vera-Badillo, Rosalyn A Juergens, Desiree Hao, Lesley Seymour, Daniel J Renouf, Eric Chen, Pierre-Olivier Gaudreau, Andrea S Fung",", , , , , , , , , , , , , ",Not Available
40184281,Nanotherapeutic Formulations for the Delivery of Cancer Antiangiogenics.,2025,"Amelia Ultimo, Ayushi Jain, Elisabet Gomez-Gonzalez, Thomson Santosh Alex, Almudena Moreno-Borrallo, Sukanya Jana, Shubhrima Ghosh, Eduardo Ruiz-Hernandez",", , , , , , , ",Not Available
40184259,Ion transport and epithelial barrier dysfunction in experimental models of ulcerative colitis.,2025,"Geoffrey I Sandle, Vazhaikkurich M Rajendran",", ",Not Available
40184238,A Co-Clinical Trial of Exercise Therapy in Breast Cancer Prevention.,2025,"Lee W Jones, Jessica A Lavery, Brandon L Tsai, Chaya S Moskowitz, Catherine P Lee, Jenna Harrison, Meghan G Michalski, Kurtis Stoeckel, Courtenay Graham, Neil M Iyengar, Umeshkumar Bhanot, Irina Linkov, Mala Jain, Maxine S Jochelson, Mara Monetti, Victoria L Seewaldt, Melissa L Pilewskie, Patrick Pribil, Chenghao Zhu, Jaron Arbet, Debra A Mangino, Paul C Boutros",", , , , , , , , , , , , , , , , , , , , , ",Not Available
40184235,Safety and Efficacy of KN046 in combination with KN026 in Patients with advanced HER2-positive Breast Cancer: a Phase II Trial.,2025,"Jieqiong Liu, Chuangui Song, Yaping Yang, Xiangcai Wang, Mingli Ni, Xujuan Wang, Lei Chen, Hongwei Yang, Rusen Zhao, Ting Xu, Lin Shen",", , , , , , , , , , ",Not Available
40184226,Real-world avelumab first-line maintenance in advanced urothelial carcinoma: systematic review and meta-analysis.,2025,"Philippe Barthélémy, Mihaela G Musat, Hoora Moradian, Mairead Kearney",", , , ",Not Available
40184223,Cell-free DNA Fragmentomics Assay to Discriminate the Malignancy of Breast Nodules and Evaluate Treatment Response.,2025,"Jiaqi Liu, Yalun Li, Wanxiangfu Tang, Tianyi Qian, Lijun Dai, Ziqi Jia, Heng Cao, Chenghao Li, Yuchen Liu, Yansong Huang, Jiang Wu, Dongxu Ma, Guangdong Qiao, Hua Bao, Shuang Chang, Dongqin Zhu, Shanshan Yang, Xuxiaochen Wu, Xue Wu, Hengyi Xu, Hongyan Chen, Yang Shao, Xiang Wang, Zhihua Liu, Jianzhong Su",", , , , , , , , , , , , , , , , , , , , , , , , ",Not Available
40184222,Updated progression of honokiol in lung cancer treatment.,2025,"Ziwei Gao, Yuping Yang, Na Huang, Wei Zhao",", , , ",Not Available
40184204,miss-SNF: a multimodal patient similarity network integration approach to handle completely missing data sources.,2025,"Jessica Gliozzo, Mauricio A Soto Gomez, Arturo Bonometti, Alex Patak, Elena Casiraghi, Giorgio Valentini",", , , , , ",Not Available
40184182,"Changes in Physical Activity, Heart Rate, and Sleep Measured by Activity Trackers During the COVID-19 Pandemic Across 34 Countries: Retrospective Analysis.",2025,"Bastien Wyatt, Nicolas Forstmann, Nolwenn Badier, Anne-Sophie Hamy, Quentin De Larochelambert, Juliana Antero, Arthur Danino, Vincent Vercamer, Paul De Villele, Benjamin Vittrant, Thomas Lanz, Fabien Reyal, Jean-François Toussaint, Lidia Delrieu",", , , , , , , , , , , , , ",Not Available
40184146,Experience in the treatment of giant orbital intraconal teratoma: A case report.,2025,"Ruimiao Li, Mingyu Ren, Limin Liu, Ruina Zhang, Wensheng Guo",", , , , ",Not Available
40184144,Small cell lung cancer progressing into fatal ascending motor and sensory polyneuropathy despite dramatic response to chemotherapy: A case report.,2025,"Syed Mohammad Naqvi, Hashim Talib Hashim, Syed Yaseen Naqvi, Ahmed Qasim Mohammed Alhatemi, Fatimah Abdullah Sulaiman, Sally Muayad Abdulmahdi, Ahmed Dheyaa Al-Obaidi, Ashraf Fhed Mohammed Basalilah, Ammar Al-Obaidi",", , , , , , , , ",Not Available
40184134,Nutritional Risk Index (NRI) predicts the clinical outcomes of patients with gastric cancer who received immune checkpoint inhibitors (PD-1/PD-L1).,2025,"Yuehua Xu, Limin Zhang, Qi Huang, Zhidong Yin, Wei Zhang",", , , , ",Not Available
40184131,Influence of cytokines on the recovery trajectory of HIV patients on antiretroviral therapy: A review.,2025,Emmanuel Ifeanyi Obeagu,,Not Available
40184130,Identification of hub genes and potential molecular mechanisms related to radiotherapy in thyroid cancer.,2025,"Chun-Tao Liao, Xing-Feng Tu, Guo-Liang Lin, De-Jie Zhang, Peng-Fei Li, Ming Zhang",", , , , , ",Not Available
40184125,Efficacy of topical carbonic anhydrase inhibitors in treating taxane drug-induced cystoid macular edema: A case report.,2025,"Xianbing Hou, Dandan Chen, Yingxue Lu",", , ",Not Available
40184112,Efficacy of electroacupuncture in the treatment of insomnia in cancer patients: A meta-analysis.,2025,"Ke Li, Ying Luo",", ",Not Available
40184104,Acute lymphoblastic leukemia first presenting with ascites: A case report.,2025,"Fengxue Yu, Zhen Tao, Cong Cheng, Hongxia Wei, Rentian Cai",", , , , ",Not Available
40184102,Diagnosis of pulmonary adenoid cystic carcinoma using multimodal ultrasound imaging technology: A case report.,2025,"Hong Shi, Wei Qiu, Ping Yang, Yaping Zhang, Tingyu Huang, Jinyuan Mei, Xinrui Yin, Yanhui Yang",", , , , , , , ",Not Available
40184100,Lung cancer palindromia due to the deficiency of vital energy and blood syndrome treated by TCM herbs: A case report.,2025,"Xiaomeng Sun, Dongyang Tan, Jiarui Miao, Chang Wang, Yi Xu, Fei Yuan, Xu Fan",", , , , , , ",Not Available
40184098,Comprehensive analysis of the survival outcomes and causes of death among patients diagnosed with myeloid sarcoma in the United States from 2000 to 2016: A retrospective SEER-based study.,2025,"Bahaa Mali, Ali Mali, Alaa Mali, Mohammad Hammad, Mohammed Abdulrazzak, Afnan W M Jobran",", , , , , ",Not Available
40184097,Efficacy and safety of herbal medicine treatment on postsurgical recovery in gastric cancer patients: A systematic review and meta-analysis.,2025,"Soo-Dam Kim, Sook-Jin Pyo, Dong-Hyeon Kim, Hwa-Seung Yoo, So-Jung Park",", , , , ",Not Available
40184089,Gamma knife radiosurgery for metastatic brain tumors with contrast media leakage: Case series.,2025,"Sue-Jee Park, Wan Park, Yeong Jin Kim, Kanghee Ahn, Kyung-Sub Moon, In-Young Kim, Shin Jung, Correia Dircia Canisia Marcelina, Seul-Kee Kim, Kyung-Hwa Lee, Tae-Young Jung",", , , , , , , , , , ",Not Available
40184088,CD274/PD-L1 copy number gained malignant peripheral nerve sheath tumor: A case report and literature review.,2025,"Kiyong Na, Hong Jun Kim",", ",Not Available
40184085,Exploring potential treatment opportunities in a head and neck tumor patient with AdCC: A novel germline ERCC2 mutation case report.,2025,"Yuanhao Liu, Tiantian Han, Didi Guo, Dongsheng Chen, Yunqian Li",", , , , ",Not Available
40184083,An updated meta-analysis of the efficacy and safety of robot-assisted laparoscopy hepatectomy and laparoscopic hepatectomy in the treatment of liver tumors.,2025,"Fuyong Niu, Yefei Wang, Zhiyuan Bai, Zhiqiang He, Hailin Wang, Furong Li",", , , , , ",Not Available
40184082,A giant spinal schwannoma at the C1-C2 level: A case report.,2025,"Xiaodong Wu, Dazhi Li, Lu Zhang, Yanming Li",", , , ",Not Available
40184080,PD-L1 and ALK expressions in stages III and IV colorectal cancer and their correlation with clinicopathological features.,2025,"Kyu Yun Jang, Kyoung Min Kim, Gi Won Ha, Min Ro Lee, Ho Sung Park, Myoung Ja Chung, Woo Sung Moon, Ae Ri Ahn",", , , , , , , ",Not Available
40184077,Network pharmacology and molecular docking approach to explore the potential mechanisms of Xuefu Zhuyu Capsule in coronary heart disease.,2025,"He Qian, Bing-Bing Chen, Min Zhang, San-Jin Zeng, Zhuang-Zhuang Jia, Shuo Wang, Shan Gao, An-Hua Shi, Jing Xie",", , , , , , , , ",Not Available
40184068,Gender Inequity in Institutional Leadership Roles in US Academic Medical Centers: A Systematic Scoping Review.,2025,"Morgan S Levy, Kelby N Hunt, Kara A Lindsay, Vikasni Mohan, Alyssa Mercadel, Eileen Malecki, Radhika Desai, Barbara M Sorondo, Asha Pillai, Marilyn Huang",", , , , , , , , , ",Not Available
40184042,Neutrophils from tuberculosis patients are polarized toward pro-inflammatory and anti-inflammatory phenotypes according to the disease severity.,2025,"María Paula Morelli, Candela Martin, Joaquín Miguel Pellegrini, Federico Blanco, Fabiana Bigi, Lorena Ciallella, Rosa Musella, Adriana Rodriguez Mieres, Graciela C de Casado, Domingo Juan Palmero, Verónica Edith García",", , , , , , , , , , ",Not Available
40184021,Effect of exercise based on the ACSM recommendations on fatigue in patients with digestive tumors: a meta-analysis of randomized controlled trials.,2025,"Meng Liang, Zheng Liu, Rui Zhang, Nan Zhang",", , , ",Not Available
40184014,Study on the Current Situation and Influencing Factors of Family Resilience of Patients With Recurrent Cancer and Their Caregivers.,2025,"Yaoyao Pei, Zhangying Xu, Xingjuan Luo, Feng Wu, Mei Yu, Wei Xiao, Tingting Hu",", , , , , , ",Not Available
40184004,"Neoadjuvant camrelizumab plus trastuzumab and chemotherapy for HER2-positive gastric or gastroesophageal junction adenocarcinoma: a single-arm, phase 2 trial.",2025,"Yijie Ma, Zhi Li, Chen Wei, Jian Zhang, Qiang Fu, Zhandong Zhang, Chuang Shang, Jinbang Wang, Xiangbin Wan, Bin Zhang, Yongchao Zhang, Jing Li, He Zhang, Liangyu Bie, Qingxin Xia, Suxia Luo, Ning Li",", , , , , , , , , , , , , , , , ",Not Available
40183989,SpatialCNS-PBPK: An R/Shiny Web-Based Application for Physiologically Based Pharmacokinetic Modeling of Spatial Pharmacokinetics in the Human Central Nervous System and Brain Tumors.,2025,"Charuka D Wickramasinghe, Seongho Kim, Jing Li",", , ",Not Available
40183973,The effects of nutritional habits and physical activity on treatment response and survival in patients with lung cancer.,2025,"Zeynep Yılmaz Kaya, Deniz Kızılırmak, Yavuz Havlucu",", , ",Not Available
40183970,Constructing a prognostic model based on MPT-related genes and investigate the characteristics of immune infiltration in bladder cancer.,2025,"Lei Yang, Zhiqiang Zhang, Mengfan Xu, Muhan Shang, Haibing Wang, Zhiqi Liu",", , , , , ",Not Available
40183956,Prospective clinical study of sentinel node detection in bladder cancer using a hybrid tracer - Towards replacement of pelvic lymph node dissection in cases with sentinel node visualization on SPECT/CT?,2025,"E J van Gennep, G Pisano, G H KleinJan, D D D Rietbergen, K Hendricksen, L S Mertens, M W Vd Kamp, E M K Wit, M L van Montfoort, M Donswijk, B W G van Rhijn, F W B van Leeuwen, H G van der Poel",", , , , , , , , , , , , ",Not Available
40183955,Total or partial adrenalectomy for aldosterone-producing adenoma: can ,2025,"Wen-Cai Zheng, Shao-Ming Chen, Qian-Renshun Qiu, Xiao-Dong Li, Fei Lin, Xi-Mei Shen, Zhou-Fei Fang, Yu-Ting Xue, Bin Lin, Xiong-Lin Sun, Qing-Shui Zheng, Yong Wei, Yong-Ping Lin, Hao Xiong, Xue-Yi Xue, Zhi-Bin Ke, Ning Xu",", , , , , , , , , , , , , , , , ",Not Available
40183941,Roles of anoikis in hepatocellular carcinoma therapy and the assessment of anoikis-regulatory molecules as therapeutic targets.,2025,"Hongyu Wang, Yawen Yang, Gan Zhang, Guang Yang, Ying Wang, Lu Liu, Juan Du",", , , , , , ",Not Available
40183909,A novel thrombospondin-1 variant as a potential diagnostic biomarker and therapeutic target in canine mammary tumor and osteosarcoma cells.,2025,"Yukyung Hong, Heyeon Baik, Jeongmin Lee, Won Seok Oh, Junsun Ryu, Seung Joon Baek",", , , , , ",Not Available
40183905,Protumor effect of CXCL10/CXCR3 axis in canine mammary gland tumor.,2025,"Soyeon Cho, Na-Yon Kim, Yeseul Yang, Jae-Ha Jung, Dansong Seo, Soyun Jin, Sung-Hyun Hwang, Yongbaek Kim",", , , , , , , ",Not Available
40183901,Outcomes of concurrent versus non-concurrent immune checkpoint inhibition with stereotactic radiosurgery for melanoma brain metastases.,2025,"Allen Ye Fu, Kenneth Bernstein, Jeff Zhang, Joshua Silverman, Janice Mehnert, Erik P Sulman, Eric Karl Oermann, Douglas Kondziolka",", , , , , , , ",Not Available
40183895,A large non-inverted true diverticulum resembling a submucosal tumor of the ascending colon: a report of a rare case.,2025,"Masahiro Maeda, Hiromichi Maeda, Kazune Fujisawa, Takayoshi Yamada, Hinako Maruoka, Ken Okamoto, Tsutomu Namikawa, Hideyuki Miyachi, Michiya Kobayashi, Satoru Seo",", , , , , , , , , ",Not Available
40183891,Axillary Surgery After Neoadjuvant Chemotherapy for Breast Cancer: Population-Based Trends Over Time.,2025,"Ekaterina Kouzmina, Matthew Castelo, Nicole J Look Hong, Julie Hallet, Natalie Coburn, Frances C Wright, Lena Nguyen, Sonal Gandhi, Katarzyna J Jerzak, Andrea Eisen, Amanda Roberts",", , , , , , , , , , ",Not Available
40183888,Randomized Trial on Electroacupuncture for Recovery of Postoperative Gastrointestinal Function Based on Long-Term Monitoring Device.,2025,"Yuling Cai, Haoyang Li, Haiou Nan, Pengyan Xu, Jiayu Li, Huafeng Pan, Haifeng Wang, Miaomiao Ge, Junjie Guan, Zhiwei Jiang, Gang Wang",", , , , , , , , , , ",Not Available
40183887,Long-term outcome of prophylactic biosynthetic mesh reinforcement at the time of loop ileostomy reversal for colorectal cancer- results of a case-matched study.,2025,"Farouk Drissi, Florent Jurczak, André Dabrowski, Olivier Oberlin, Haitham Khalil, Jean-François Gillion, Guillaume Meurette",", , , , , , ",Not Available
40183885,Treatment summaries for head and neck cancer survivors: a pilot study to improving patient recall and survivorship care plans.,2025,"Shreyas G Krishnapura, Aaron X Lee, Tatsuki Koyama, James L Netterville, Kyle Mannion, Alexander J Langerman, Robert Sinard, Sarah L Rohde, Michael C Topf",", , , , , , , , ",Not Available
40183884,TOP2B is required for compartment strength changes upon retinoic acid treatment in SH-SY5Y cells.,2025,"Erica M Hildebrand, Ian G Cowell, Mushtaq M Khazeem, Snehal Sambare, Ozgun Uyan, Job Dekker, Caroline A Austin",", , , , , , ",Not Available
40183881,Targeting immune cells in tumor microenvironment in triple negative breast cancer therapy: future perspective to overcome doxorubicin resistance and toxicity.,2025,"Dewajani Purnomosari, Bilqis Zahra Nabila, Sitarina Widyarini,  Mustofa",", , , ",Not Available
40183879,Practice patterns in the diagnosis and management of chemotherapy-induced peripheral neuropathy in adolescents and young adults with cancer: a survey of oncologists.,2025,"Jennifer A Belsky, L Lee Dupuis, Lillian Sung, Allie Carter, Audrey Leisinger, Etan Orgel, Susan K Parsons, Michael Roth",", , , , , , , ",Not Available
40183852,"Lessons learned from a decade of immune checkpoint inhibition: The good, the bad, and the ugly.",2025,"Jacob J Adashek, Jillian A Moran, Dung T Le, Razelle Kurzrock",", , , ",Not Available
40183827,In vitro and in vivo evaluation of anti-HER2 antibody conjugates labelled with ,2025,"Kateřina Ondrák Fialová, Lukáš Ondrák, Martin Vlk, Ján Kozempel, Kateřina Nováková, Zbyněk Nový, Katarína Hajduová, Marián Hajdúch, Miloš Petřík, Marek Pruszynski, Frank Bruchertseifer, Alfred Morgenstern",", , , , , , , , , , , ",Not Available
40183820,The effect of pre-operative MRI on the in-breast tumor recurrence rate of patients with breast cancer: a meta-analysis.,2025,"Mahdieh Khoshzaban Banisi, Hani Ghadri, Behnaz Soltani, Amirali Farshid, Bahar Behnam, Amir Abbas Rhouholamini, Amirhossein Mohammadi, Seyedeh Fatemeh Hamzavi, Ashkan Azizi, Niloofar Deravi, Masoud Noroozi, Amin Magsudy, Sina Seyedipour, Shima Behzad, Yaser Khakpour",", , , , , , , , , , , , , , ",Not Available
40183804,Post-SRS haemorrhage and oncological outcome of patients with melanoma brain metastases undergoing stereotactic radiotherapy.,2025,"Christina Schröder, Joseph Sia, Claire Phillips, Michelle Li, Lavinia Spain, Neda Haghighi",", , , , , ",Not Available
40183794,[Specialized ambulatory palliative care for urological tumors].,2025,"Stephan Degener, Nici Markus Dreger, Friedrich-Carl von Rundstedt, Marie-Therese Schmitz, Ulrich Grabenhorst, Oliver Schmalz, Klaus Weckbecker, Johannes Just",", , , , , , , ",Not Available
40183732,Phenotype-Based Classification of Obstructive Hypertrophic Cardiomyopathy Undergoing Myectomy.,2025,"Hao Cui, Hao Nie, Congrui Wang, Ningning Zhang, Yifan Wang, Wendao Liu, Siyuan Huang, Xiao Chen, Hao Jia, Songren Shu, Mengxia Fu, Qian Zhao, Xiumeng Hua, Yuan Chang, Yunhu Song, Jiangping Song",", , , , , , , , , , , , , , , ",Not Available
40183695,Clinicopathological features and patterns of treatment of patients with endometrial cancer in Brazil.,2025,"Martina Parenza Arenhardt, Giovanna Vieira Giannecchini, Luiz Claudio Santos Thuler, Andreia Cristina de Melo",", , , ",Not Available
40183694,Quality indicators for endometrial cancer care in Japan.,2025,"Tamaki Kakuwa, Yuichi Ichinose, Ryoko Rikitake, Taisuke Ishii, Satoru Nagase, Yoichi Kobayashi, Masanori Kaneuchi, Hideki Tokunaga, Manabu Seino, Hiroaki Kajiyama, Munetaka Takekuma, Tsutomu Tabata, Yoshito Terai, Yasuhisa Terao, Tohru Morisada, Hidemichi Watari, Yoko Yamamoto, Akira Kawata, Takahiro Higashi",", , , , , , , , , , , , , , , , , , ",Not Available
40183693,Significance of HPV status on tumor response and treatment outcomes in endocervical adenocarcinoma treated with definitive chemoradiotherapy: a retrospective study.,2025,"Jong Yun Baek, Hyun-Soo Kim, Won Kyung Cho, Byoung-Gie Kim, Jeong-Won Lee, Chel Hun Choi, Tae-Joong Kim, Yoo-Young Lee, Won Park",", , , , , , , , ",Not Available
40183669,Air Embolism after Percutaneous Lung Biopsy or Ablation: A Report of Six Cases.,2025,"Rebecca Choi, Haylie Kieu-Mi Phan, Varshana Gurusamy, Rahul A Sheth, Bruno C Odisio, Kelvin Hong, Alda L Tam",", , , , , , ",Not Available
40183640,Deciphering Metabolic Alterations Associated with Glioma Grading Using Hyperspectral Stimulated Raman Scattering Imaging.,2025,"Le Xin, Wei Zheng, Kan Lin, Shulang Lin, Zhiwei Huang",", , , , ",Not Available
40183622,[Venous factor in surgical management of skull base meningiomas].,2025,"Yu G Yakovlenko, V A Cherekaev, A V Kozlov, N V Lasunin",", , , ",Not Available
40183621,[Surgical treatment of intracerebral metastases of Ewing sarcoma in children. Case report and review].,2025,"A V Sanakoeva, A E Samarin, E I Konopleva, A V Tarakanova, I V Sidorov, A E Druy, A I Karachunsky",", , , , , , ",Not Available
40183620,[High-grade astrocytoma with piloid features: case report and systematic review].,2025,"Yu M Poluektov, N A Konovalov, M V Ryzhova, N I Bychkovskii, N V Lasunin, B A Zakirov, D S Kim",", , , , , , ",Not Available
40183619,[Combined extravasal compression of the right subclavian artery caused by stellate ganglion schwannoma and additional rudimentary cervical rib. Clinical case and literature review].,2025,"D Yu Usachev, V A Lukshin, A A Shulgina, E V Vinogradov, A S Nazarova, G A Denisova, A D Akhmedov",", , , , , , ",Not Available
