PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40183135,The Challenging and Unique Diagnosis of VEXAS Syndrome: A Case Report.,2025,"Jowan Al-Nusair, Olivia Lim, Leena Alhusari, Abdelwahap Elghezewi, Mahmoud Abdallah, Mohamed Alshal, Toni Pacioles",", , , , , , ",Not Available
40182929,"Role of DNA Methylation in the Pathogenesis of Skin Disorders: Mechanisms, Inhibitors of Methylation-Related Enzyme, and Molecular Docking Studies.",2025,"Anchal Rani, Gagandeep Kaur, Ravinder Kumar, Rohan Samir Kumar Sachan, Mukesh Kumar, Harsh Sable, Abdel Rahman Mohammad Al Tawaha, Shahid Malik, Arun Karnwal, Tabarak Malik",", , , , , , , , , ",Not Available
40182887,Nail Bed Reconstruction Using Synthetic Matrix: A Case Series.,2025,"Devin C Potter, Caleb A LaVigne, Haley D Puckett, Gary M Lourie",", , , ",Not Available
40182873,"Spaghetti Wrist Injury: Past, Present, and Future.",2025,"Matei Ileana Rodica, Ciura-Capota Irina, Olariu Octavian, Alexandru Georgescu",", , , ",Not Available
40182861,Surgical Firework Injury of the Thumb: Injury Pattern and Treatment Algorithm.,2025,"David Cardenas, Muhammad Harirah, Anca Dogaroiu, Brandon Bruce, Andrei Odobescu, Douglas Sammer, Andrew Y Zhang",", , , , , , ",Not Available
40182730,Return-to-play criteria based on infrared thermography during anterior cruciate ligament rehabilitation in football players.,2025,"Victor-Luis Escamilla-Galindo, José Luis Felipe, Antonio Alonso-Callejo, Ralph Van-der-Horst, Ana de la Torre-Combarros, Paolo Minafra, Daniel Fernández-Muñoz, Ismael Fernández-Cuevas",", , , , , , , ",Not Available
40182720,Kinetics of skin temperature in lower limbs of professional soccer athletes.,2025,"Alex de Andrade Fernandes, Miller Gomes de Assis, João Carlos Bouzas Marins, André Gustavo Pereira de Andrade, Maicon Rodrigues Albuquerque, Ciro José Brito, Cristiano Diniz da Silva, Myrian Augusta Araujo Neves do Valle, Eduardo Mendonça Pimenta, Emerson Silami Garcia",", , , , , , , , , ",Not Available
40182465,Aggressive Oral Carcinoma Cuniculatum Presenting with Recurrence and Metastasis: A Case Report.,2025,"Manishaa Venkatesh, M P Santhosh Kumar, Murugesan Krishnan, Senthil Murugan Pandurangan, S Gidean Arularasan",", , , , ",Not Available
40182442,Use of the SMAS Flap in Benign Parotid Gland Surgery: Review and 5 Years Experience.,2025,"Luciano Catalfamo, Carla Nava, Danilo De Rinaldis",", , ",Not Available
40182441,Investigating the Anatomy and Location of the Infraorbital Canal in Relation to the Adjacent Structures in Cone Beam Computed Tomography (CBCT) Images.,2025,"Seyed Sasan Aryanezhad, Nasim Jafari-Pozve, Mehdi Abrishami, S Marjan Arianezhad",", , , ",Not Available
40182389,Prevalence of Health Effects Due to Disinfectant Exposure and Its Impact on Selected Physiological Parameters Among Class D Workers: A Descriptive Cross-Sectional Study.,2025,"Vijaya R Kumbhar, Seema B Geddugol",", ",Not Available
40182375,Oncoplastic Breast-Conserving Surgery Outcomes in the Hispanic Population at a Large County Hospital.,2025,"Amanda Daoud, Kendall A Vignaroli, Aldin Malkoc, Lana Mamoun, Jaclyn R Cerceo, Kevin Perez, Angel Guan, So Un Kim, Amira Barmanwalla, Judi Anne B Ramiscal",", , , , , , , , , ",Not Available
40182374,Pseudohyperkalemia as a New Insight Into the Causes of Hyperkalemia Associated With Atopic Dermatitis.,2025,"Atsuhiro Yae, Junji Azuma, Eri Kijima, Takehisa Yamamoto, Yasuhiro Hasegawa",", , , , ",Not Available
40182335,Ocular Manifestations Leading to the Diagnosis of Ichthyosis: A Case Report.,2025,Joobin Khadamy,,Not Available
40182286,Global prevalence of macrolide-resistant ,2025,"Tahereh Navidifar, Abbas Zare Banadkouki, Elnaz Parvizi, Maryam Mofid, Narges Golab, Masoumeh Beig, Mohammad Sholeh",", , , , , , ",Not Available
40182131,Targeting Chronic Biofilm Infections With Patient-derived Phages: An In Vitro and Ex Vivo Proof-of-concept Study in Patients With Left Ventricular Assist Devices.,2025,"Melissa Pitton, Luca G Valente, Simone Oberhaensli, Bülent Gözel, Stephan M Jakob, Parham Sendi, Monika Fürholz, David R Cameron, Yok-Ai Que",", , , , , , , , ",Not Available
40181969,Transitioning from Lupus Low Disease Activity State to remission in systemic lupus erythematosus: real-world evidence.,2025,"Dai Gao, Lanlan Ji, Xiaohui Zhang, Yanjie Hao, Wenhui Xie, Yong Fan, Zhuoli Zhang",", , , , , , ",Not Available
40181807,Scratching the surface: biomarkers and neurobiomarkers for improved allergic contact dermatitis management.,2025,"Akimi Sasaki, Manuel Sargen, Anish R Maskey, Xiu-Min Li",", , , ",Not Available
40181690,"Incidence, treatment variation and outcomes of Rollercoaster reflux.",2025,"Sharon Oud, Michael C Mooij, Michiel A Schreve, Clarissa J van Vlijmen, Çağdaş Ünlü",", , , , ",Not Available
40181653,A qualitative prognostic biomarker for melanoma based on the relative methylation orderings of CpG loci.,2025,"Yue Huo, Yaru Gao, Jiayi Ruan, Lingli Wang, Hongdong Li, Guini Hong",", , , , , ",Not Available
40181572,Counteracting Skin Aging In Vitro by Phytochemicals.,2025,"Sara Cruciani, Giuseppe Garroni, Diletta Serra, Fikriye Fulya Kavak, Rosanna Satta, Fernanda Martini, Mauro Tognon, Carlo Ventura, Margherita Maioli",", , , , , , , , ",Not Available
40181552,Early Neutrophil Activation in Psoriatic Skin at Relapse Following Dead Sea Climatotherapy.,2025,"Thomas Emmanuel, Hakim Ben Abdallah, Elena Baez, Ida Maja Rather, Torben Steiniche, Anne Bregnhøj, Lars Iversen, Claus Johansen",", , , , , , , ",Not Available
40181308,Efficacy of skin-to-skin contact between mother and newborn during the third stage of labour in reducing postpartum haemorrhage risk.,2025,"Sandra Martínez-Rodríguez, Julián Rodríguez-Almagro, Alberto Bermejo-Cantarero, Juan Carlos Muñoz-Camargo, Estíbaliz Laderas-Díaz, Antonio Hernández-Martínez",", , , , , ",Not Available
40181256,Modulating immune responses in alopecia: therapeutic insights and potential targets of antisense oligonucleotides.,2025,"Shahnaz Begum, Md Jamil Hossain, Insun Kim, Hyun Su Min, Yu Na Lim, Hyun-Jeong Cho, Jin-Hyeob Ryu",", , , , , , ",Not Available
40181218,Measurement Properties of the Comprehensive Quality-of-Life Measure for Acne (CompAQ): A Cohort Study at Three International Sites.,2025,"Michael R Nock, Delaney Griffiths, Ali Shields, Karen Michael, Nuha Nasir, Jaefer Mohamad, James Choe, Delwyn Z J Lim, Alison M Layton, Jerry Tan, Hazel H Oon, John S Barbieri",", , , , , , , , , , , ",Not Available
40181146,Identifying six single nucleotide variants in the COL17A1 gene that alter RNA splicing: database analysis and minigene assays.,2025,"Yingfei Shao, Ran Zhang",", ",Not Available
40181112,Metformin inhibits melanin synthesis and melanosome transfer through the cAMP pathway.,2025,"Xing Liu, Xiaojie Sun, Yunyao Liu, Wenzhu Wang, Hedan Yang, Yiping Ge, Yin Yang, Xu Chen, Tong Lin",", , , , , , , , ",Not Available
40181097,Keratinocyte SR-B1 expression and targeting in cytokine-driven skin inflammation.,2025,"Jacquelyn Trujillo, Andrea E Calvert, Jonathan S Rink, Bethany E Perez White, Fabiola Sepulveda, Dauren Biyashev, Kurt Q Lu, Robert M Lavker, Han Peng, C Shad Thaxton",", , , , , , , , , ",Not Available
40180935,Cutaneous melanoma.,2025,"Alpaslan Tasdogan, Ryan J Sullivan, Alexander Katalinic, Celeste Lebbe, Dagmar Whitaker, Susana Puig, Lonneke V van de Poll-Franse, Daniela Massi, Dirk Schadendorf",", , , , , , , , ",Not Available
40180807,The impact of inherent dose heterogeneity of brachytherapy on calculating iso-effective dose-fractionation regimens for nonmelanoma skin cancers.,2025,"Arezoo Karimi, Nahid Chegeni, Farshid Mahmoudi, Seyed Masoud Rezaeijo, Ali Bagheri",", , , , ",Not Available
40180765,Abscopal Effects and Immunomodulation in Skin Cancer Therapy.,2025,"William J Nahm, Goranit Sakunchotpanit, Vinod E Nambudiri",", , ",Not Available
40180764,Comprehensive and Updated Algorithm of Hidradenitis Suppurativa Management from the Experts.,2025,"Caitlyn B Dagenet, Katrina H Lee, Christopher Sayed, Jennifer L Hsiao, Vivian Y Shi",", , , , ",Not Available
40180626,The role of plant-derived extracellular vesicles in ameliorating chronic diseases.,2025,"Ashwani Tiwari, Naveen Soni, Shweta Dongre, Megha Chaudhary, Bhawana Bissa",", , , , ",Not Available
40180392,"Wise or wide (WoW) study protocol: a national, multicentre, prospective, randomised and controlled, parallel group, non-inferiority study to compare single-staged versus two-staged excisions of thin invasive (≤1.0 mm) melanoma.",2025,"Ebba Wennberg, Magdalena Claeson, Roger Olofsson Bagge, Sam Polesie, John Paoli",", , , , ",Not Available
40180349,Recurrent vismodegib drug-induced liver injury with corticosteroid response.,2025,"Maya Bienz, Kate Fife, Anna Paterson, Gwilym Webb",", , , ",Not Available
40180341,Isolated eyelid milia presenting as systemic sarcoidosis.,2025,"Carson Clabeaux, Mary C Casey, Jared Heller, Vladamir S Yakopson",", , , ",Not Available
40179922,Serum type I interferon score as a disease activity biomarker in patients with diffuse cutaneous systemic sclerosis: a retrospective cohort study.,2025,"Monique Hinchcliff, Dinesh Khanna, Enrico De Lorenzis, Stefano Di Donato, Antonio Carriero, Rebecca L Ross, Suiyuan Huang, Kathleen A Aren, Elana J Bernstein, Mary Carns, Flavia V Castelino, Robyn T Domsic, Tracy M Frech, Jessica K Gordon, Faye N Hant, Ami A Shah, Victoria K Shanmugam, Virginia D Steen, Shervin Assassi, Francesco Del Galdo",", , , , , , , , , , , , , , , , , , , ",Not Available
40179897,Occupational radiation exposure during blood sample collection post I-131 therapeutic administration in thyroid cancer patients.,2025,"Amna Juma Al-Jabri, Jennie Cooke, Seán Cournane, Marie-Louise Healy",", , , ",Not Available
40179549,"Skin-adaptable, highly stretchable, and self-debonding hydrogel dressings for accelerating infected wound healing without secondary damage.",2025,"Yan Liu, Lei Tang, Qinbin Ma, Yiling Shen, Huancai Zhao, Xiaoxu Liu, Danqi Lin, Guiyin Zhou",", , , , , , , ",Not Available
40179441,Exosomes in melanoma: Future potential for clinical theranostics.,2025,"Asmit Das, Swarup Sonar, Rajib Dhar, Vetriselvan Subramaniyan",", , , ",Not Available
40179289,A Triboelectric Sensor with High Sensitivity and Wide Detection Range by Tuning Electron Tunneling and Piezoelectric Charge.,2025,"Chi Zheng, Dangge Gao, Bin Lyu, Renjie Li, Haoyuan Wu, Yingying Zhou, Ken Chen, Huan Li, Nan Li, Jianzhong Ma",", , , , , , , , , ",Not Available
40179240,HIFES and Sync RF+ Technology for Submental Volume Reduction: MRI Study.,2025,"Barry DiBernardo, Carolyn Jacob, Lesley Clark-Loeser",", , ",Not Available
40179095,"Effect of opioid-free anesthesia combined with pectoral nerve block on the quality of recovery in patients after mastectomy: A randomized, controlled trial.",2025,"Jiawei Chen, Lewei He, Yuying Shi, Jing Jiao, Shaoqiang Huang, Jianhua Zhou, Qingyan Luo",", , , , , , ",Not Available
40178865,Evaluation of the safety and efficacy of the thulium 1927 laser in aesthetic health: an integrative review.,2025,"Mariana da Silva Sardinha, Mariana Sato de S B Monteiro",", ",Not Available
40178717,Early appropriate therapy with polymyxin B reduces the mortality in burn sepsis caused by carbapenem-resistant gram-negative bacteria: a retrospective analysis.,2025,"Nanhong Jiang, Weiguo Xie, Deyun Wang, Wei Wang",", , , ",Not Available
40178694,"Impact of pentoxifylline on efficacy, safety, tolerability, and treatment satisfaction of fractional carbon dioxide laser in patients with burn scars: a pilot blinded randomized controlled trial.",2025,"Sara Dilmaghani, Elham Behrangi, Pardis Hejazi, Afsaneh Sadeghzadeh-Bazargan, Masoumeh Roohaninasab, Arash Pour Mohammad, Alireza Jafarzadeh, Farnoosh Seirafianpour, Azadeh Goodarzi",", , , , , , , , ",Not Available
40178466,Adverse Events Associated With Peripheral Nerve Stimulation: An Analysis of the MAUDE Data base and Implications for Pain and Spine Clinicians.,2025,"Amanda N Cooper, Hasan Sen, Napatpaphan Kanjanapanang, Kristen Saad, Garret Wahl, Matthew Essman, Alexandra E Fogarty, Taylor Burnham, Aaron M Conger, Zachary L McCormick, Allison Glinka Przybysz, Chase Young",", , , , , , , , , , , ",Not Available
40178422,iPARTY study: Increasing pre-exposure prophylaxis access and reach via telehealth for young men who have sex with men in Singapore 2022-2023.,2025,"Pei Hua Lee, Justin Y Lim, P Arun Kumar, Zhi Hui Tan, Rayen Bing Hui Tan, Chiaw Yee Choy, Rayner Kay Jin Tan, Martin Tw Chio, Chen Seong Wong",", , , , , , , , ",Not Available
40178310,"In Vitro, Ex Vivo, Instrumental, and Clinical Assessment of a Novel Anti-aging Serum Targeting Oxidative Stress.",2025,"Sayantani Goswami, Jin Namkoong, Marwa El Hajoui, Ewelina Lesniak, Joanna Wu",", , , , ",Not Available
40177988,Fetoscopic Robotic Open Spina Bifida Treatment (FROST): A Preclinical Feasibility and Learning Curve Study.,2025,"Yada Kunpalin, Charlotte C Kik, Francis Lebouthillier, Nimrah Abbasi, Greg Ryan, Jochem Spoor, Thomas Looi, Abhaya V Kulkarni, Tim Van Mieghem",", , , , , , , , ",Not Available
40177980,The Poly (ADP-Ribose) Polymerase-1 Enzyme Is Overexpressed in Various Solid Canine Tumours: An Immunohistochemical Study.,2025,"Shana De Vos, Simone Janssen, Sophie Favril, Hilde De Cock, Matthijs Vynck, Jonas Steenbrugge, Ward De Spiegelaere, Hilde de Rooster",", , , , , , , ",Not Available
40177928,Targeted Nipple Areola Complex Reinnervation in Gynecomastia Mastectomy: A Case Report.,2025,"Elizabeth E Blears, Katya Remy, Silviu Diaconu, Ian L Valerio, Lisa Gfrerer",", , , , ",Not Available
40177911,Combination of rhinoshave and fractional ablative CO,2025,"Conrad Hempel, Anna-Theresa Seitz, Viktor Schnabel, Till Mittank-Weidner, Jan-Christoph Simon, Sonja Grunewald",", , , , , ",Not Available
40177900,Combination Laser Treatment in Procedural Management of Congenital Melanocytic Nevi.,2025,"Serena Y Tsai, Martin R Buta, Branko Bojovic, Mia A Mologousis, R Rox Anderson, Elena B Hawryluk, Yakir S Levin",", , , , , , ",Not Available
40177824,Successful treatment of subacute cutaneous lupus erythematosus with the TYK-2 inhibitor deucravacitinib in a patient with concomitant psoriasis vulgaris.,2025,"Katharina Assaf, Selina Patt, Valentin Sebastian Schäfer, Jörg Wenzel, Natalija Novak, Dagmar Wilsmann-Theis",", , , , , ",Not Available
40177804,Semiconducting and environmentally responsive melanin-doped silk nanofibers for multifunctional electronic tattoos.,2025,"Shalik Ram Joshi, Soohoon Lee, Sunghwan Kim",", , ",Not Available
40177799,Efficacy and Safety of Topical Compound Heparin Sodium Allantoin Gel (Main Components: Onion Extract Quercetin) for the Treatment of Rosacea.,2025,"Zining Xu, Biao Yu, Yuxin Qing, Shuhong Ye, Bingyang Xu, Yuanqin Wang, Bin Zhao, Hong Sun, Na Wu, Jiawen Wu",", , , , , , , , , ",Not Available
40177732,"""Ugh…how do you catch that?"" - A qualitative study of the impact of psoriasis on social interactions.",2025,"Susan M Moschogianis, Anna Chisholm, Shane McKie, Christopher E M Griffiths, Rebecca Elliott, C Elise Kleyn",", , , , , ",Not Available
40177675,Fatal amoebic meningoencephalitis caused by ,2025,"Rubén L Rodríguez-Expósito, Loles Carbonell, Jesús Recuero-Gil, Javier Martinez, Rosa Martinez-Valverde, Carmen Martinez-Fernandez, Joaquín Ortega-Porcel, Agustín Barragán Hernández, Juan M Corpa, Estefanía Montero Cortijo, Jesús Sánchez-Nicolás, Sergio Moya, Patricia Pérez-Pérez, María Reyes-Batlle, Angélica Domíngez-de-Barros, Omar García-Pérez, Angela Magnet, Fernando Izquierdo, Soledad Fenoy, Carmen Del Águila, Elizabeth Córdoba-Lanús, Francisco de Asis García-González, Miguel Casares, José E Piñero, Jacob Lorenzo-Morales",", , , , , , , , , , , , , , , , , , , , , , , , ",Not Available
40177585,Brief Report on Primary Cutaneous Invasive Aspergillosis in a Patient With Prolonged Neutropenia Following a Traumatic Injury.,2025,"Armelle Pérez Cortés Villalobos, Ghadeer Alahmadi, Coleman Rotstein",", , ",Not Available
40177548,Celastrol directly targets LRP1 to inhibit fibroblast-macrophage crosstalk and ameliorates psoriasis progression.,2025,"Yuyu Zhu, Lixin Zhao, Wei Yan, Hongyue Ma, Wanjun Zhao, Jiao Qu, Wei Zheng, Chenyang Zhang, Haojie Du, Meng Yu, Ning Wan, Hui Ye, Yicheng Xie, Bowen Ke, Qiang Xu, Haiyan Sun, Yang Sun, Zijun Ouyang",", , , , , , , , , , , , , , , , , ",Not Available
40177545,Topical adhesive spatio-temporal nanosystem co-delivering chlorin e6 and HMGB1 inhibitor glycyrrhizic acid for ,2025,"Lijun Su, Yixi Zhu, Xuebo Li, Di Wang, Xiangyu Chen, Zhen Liu, Jingjing Li, Chen Zhang, Jinming Zhang",", , , , , , , , ",Not Available
40177536,State-of-the-art photodynamic therapy for malignant gliomas: innovations in photosensitizers and combined therapeutic approaches.,2025,"Bruno A Cesca, Kali Pellicer San Martin, Matías D Caverzan, Paula M Oliveda, Luis E Ibarra",", , , , ",Not Available
40177513,Preparation and evaluation of topical span 60-based oleogel of voriconazole.,2025,"Hiba Muneer Fysal, Hanan Jalal Kassab",", ",Not Available
40177453,Localized Leg Erythema as the Primary Symptom of Scarlet Fever: An Atypical Presentation.,2025,Yusuke Ito,,Not Available
40177449,Severe Atopic Dermatitis: Clinical Confusion With Hyper IgE Syndrome.,2025,"Reyhan S Cansunar, Güzin Özden, Leyla Cevirme, Susamber Dik, Merve Erkoc, Hakan Basir",", , , , , ",Not Available
40177448,"Clinicomycological Profile of Dermatophytosis in a Tertiary Care Hospital in Tamil Nadu, India.",2025,"Jahappriya Jd, Aruna M, Rajalakshmi Ramalingam",", , ",Not Available
40177380,PTEN/PI3K/AKT pathway activation with hypoxia-induced human umbilical vein endothelial cell exosome for angiogenesis-based diabetic skin reconstruction.,2025,"Zhenming Li, Yuhao Bai, Hao Wu, Yisheng Feng, Xinxi Wang, Cancan Zhao, Xudong Wang",", , , , , , ",Not Available
40177379,Co-encapsulated Ce6 + CpG and biopeptide-modified liposomes for enhanced transdermal photo-immunotherapy of superficial tumors.,2025,"Shaozhen Wang, Chen Yang, Yuanyuan Zhang, Yi Hu, Lan Xiao, Weiping Ding, Bensheng Qiu, Fenfen Li",", , , , , , , ",Not Available
40177367,Utility of photoacoustic patterns in intra-operative margin assessment of breast cancer post neoadjuvant chemotherapy.,2025,"Yonggeng Goh, Ghayathri Balasundaram, Hui Min Tan, Thomas Choudary Putti, Renzhe Bi, Mikael Hartman, Shaik Ahmad Buhari, Celene Wei Qi Ng, Su Ann Lui, Serene Si Ning Goh, Wei Qi Leong, Eric Fang, Swee Tian Quek, Malini Olivo",", , , , , , , , , , , , , ",Not Available
40177282,Case Report: Tattoo sarcoidosis with epithelioid cell granuloma positive for ,2025,"Yuiko Masuda, Hiroko Okabayashi, Kimitaka Akaike, Shohei Hamada, Aiko Masunaga, Hidenori Ichiyasu, Kenichi Ohashi, Takuro Sakagami",", , , , , , , ",Not Available
40177259,Unusual Presentation of Epidermodysplasia Verruciformis (EV) in Non-Sun Exposed Area: A Case Report.,2025,"Nidal Jebrini, Majed Dwaik, Mohanad Jaber, Sami Jabari, Raghad Razem, Man Sarahna, Rashad Alzaro, Feras Aljabari, Mohamed Aqel, Husein Sarahneh",", , , , , , , , , ",Not Available
40177241,Measurement-guided therapeutic-dose prediction using multi-level gated modality-fusion model for volumetric-modulated arc radiotherapy.,2025,"Changfei Gong, Yuling Huang, Junming Jian, Wenheng Zheng, Xiaoping Wang, Shenggou Ding, Yun Zhang",", , , , , , ",Not Available
40177156,Genetic Insights Into Hyaline Fibromatosis Syndrome: A Case Report of an ANTXR2 Mutation Featuring a Rare Variant c.697+1G>A.,2025,"Shabnam Hajiani Ghotbabadi, Reza Shiari, Shayan Yousufzai, Simin Sharifi",", , , ",Not Available
40177000,"Bibliometric Analysis of Platelet-Rich Plasma Treatment for Hair Restoration, Facial Rejuvenation, Dental Procedures, and Gynecological Rejuvenation.",2025,"Aditya K Gupta, Daniel Taylor",", ",Not Available
40176999,Responsiveness of the Dermatology Life Quality Index and the Colombian Validated Version of the Skindex-29 in Scarring and Non-Scarring Alopecia.,2025,"Jurany Sanchez, Cristian Mora, Gener Alejandro Mancilla, Gloria Sanclemente",", , , ",Not Available
